Recipe ID,Recipe Title,Weight Per Serving,Vegetarian,Vegan,Gluten Free,Dairy Free,Minutes,Dish Type,Ingredients,Ingredients,Calories,Alcohol,Instructions
1,Fried Anchovies with Sage,226,FALSE,FALSE,FALSE,TRUE,45,"lunch,main course,main dish,dinner","anchovies,baking powder,egg,flour,sage leaves,salt,seltzer water,vegetable oil",,384,0,"Adds a sage leave to each piece of fish as well for an extra burst of flavor & color. Fried Anchovies with SageAcciughe fritte con Salvia 1lb of anchovies cleaned, spine removedsage leaves (optional - if you are not a fan of sage just omit) batter 1 cup of flour 1 egg 1 teaspoon of salt 1 teaspoon of baking powder seltzer water vegetable oil for fryingIn a bowl combine flour, eggs, salt & baking powder. Slowly add in seltzer water &amp; mix until forms a thin batter. Cover with plastic &amp; set in the fridge for at least an hour.Heat oil in a pot to 350 degree.Remove batter from fridge and mix once or twice (batter will have separated).Take a sage leaf &amp; anchovy put them together & dip into the batter - allowing access batter to drip off.Fry 20 seconds a side until golden brown.Remove from oil &; drain on a paper towel.Sprinkle with salt &amp; serve immediately.Pairs great with prosecco or white wine."
2,Anchovies Appetizer With Breadcrumbs & Scallions,33,FALSE,FALSE,FALSE,TRUE,15,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre","anchovies,bread,garlic clove,olive oil,scallions",,57,0,"Preheat oven to 400 F. Remove crusts from bread and cut into bite-sized croutons. Rub garlic in bottom of a small oven-safe skillet, add 2 teaspoons olive oil.  Rub croutons in oil until they absorb it all.  Bake for 7-10 minutes or until deep golden brown. Remove and set aside. Slice anchovies in thirds.  Toss with scallions.  Divide into small cups, ramekins or bowls between 4 and 8 ounces and nestle in the croutons."
3,"Carrots, Cauliflower And Anchovies",364,FALSE,FALSE,FALSE,TRUE,45,"lunch,main course,main dish,dinner","acini di pepe,almonds,anchovies,carrots,cauliflower,extra virgin olive oil,extra-virgin olive oil,lemon juice,rocket,salt and pepper",,942,0,
4,Bap Story: Stir Fried Anchovies (Myulchi Bokkeum),711,FALSE,FALSE,TRUE,TRUE,45,"lunch,main course,main dish,dinner","anchovies,baby-back ribs,cooking oil,frying oil,garlic,garlic,ground ginger,pine nuts,plum,rice syrup,rice syrup,sesame seeds,sugar,sprinkle",,1.697,0,
5,"Bread, Butter And Anchovies",36,FALSE,FALSE,FALSE,FALSE,3,,"bread,capers,salted anchovies,unsalted butter",,113,0,"Slice bread into 1 cm thick slices: you can toast them or use them as they are. I prefer a soft bread to exalt butter softness. Spread butter with generosity over the bread.If you want to use salted anchovies, rinse them under running water to remove extra salt and divide them into fillets, removing all the bones. If you use anchovies in oil, just make two fillets out of them and lay them over buttered bread.And now, the final touch: a pickled baby caper in the centre, and - in less than 3 minutes - you have an unusual afternoon break or a fun anti-crisis and anti-panic appetizer for Christmas."
6,Fried Anchovies,83,FALSE,FALSE,FALSE,TRUE,15,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre","anchovies,cayenne pepper,cherry tomatoes,crusty bread,eggs,extra virgin olive oil,flour,olive oil,salt and pepper",,356,0,"If you are using whole, fresh anchovies you must clean them first. Pull off the heads and pull out the insides. Then rinse with clean water.Pour the olive oil into a small deep saucepan set over heat. Use a deep fry thermometer to monitor the heat.Meanwhile, add the eggs to a small bowl and beat until well mixed. Add the flour, cayenne, salt and black pepper to a shallow bowl, use a fork to mix the ingredients together. Dip the fish one at a time into the beaten eggs and then roll it in flour.When the oil reaches 365 degrees F. fry the fish a few at a time, rolling them around in the oil to assure even cooking until they are golden brown (about 5-8 minutes). Serve with crusty bread, extra-virgin olive oil for dipping the bread (optional) and tomatoes."
7,"Tomato & Anchovies With Bread Crumbs, Basil & Red Onion Recip",101,FALSE,FALSE,FALSE,TRUE,45,side dish,"anchovy,basil leaves,bread crumbs,extra virgin olive oil,pepper,red onion,sherry vinegar,tomato",,142,0,
9,Marinated Fresh Anchovies: Alici Marinate,244,FALSE,FALSE,TRUE,TRUE,420,"lunch,main course,main dish,dinner","fresh anchovies,garlic,olive oil,oregano,parsley,red chile flakes,sea salt,white wine vinegar",,221,0,"Using scissors, trim the fins off of all the anchovies. Using a sharp paring knife, gut the fish, and rinse well. Cut off the heads and carefully remove the spine and pin bones by pulling from the top with the index finger and thumbnail. Separate the 2 fillets and rinse again. Lay 1 layer of the fillets in a deep oval quiche plate and sprinkle over with vinegar. Continue until all the fish fillets are in the plate and pour over the rest of the vinegar. Let sit to marinate for at least 4 hours in the refrigerator. Drain each anchovy from the vinegar, rinse, and pat dry with a kitchen towel. Wash out the oval quiche plate and dry well. Lay the cured anchovies into the quiche plate, one layer at a time, with 2 or 3 tablespoons olive oil, a pinch of oregano, a sprinkle of chile flakes, a sprinkle of parsley, a couple of garlic slices, and a sprinkle of salt. Layer until all of the anchovies are finished and allow to marinate at least 2 hours, refrigerated. To serve, bring anchovies to cellar temp, just about 58 degrees F, and place 8 or 9 on each plate drained of oil. The cured anchovies will last like this for 1 week in the refrigerator."
10,Marinated Boquerones,203,FALSE,FALSE,TRUE,TRUE,45,"lunch,main course,main dish,dinner","bell pepper,chillies,coarse sea salt,extra-virgin olive oil,fresh anchovies,fresh parsley,fresh thyme,garlic cloves,juice of lemon,sherry vinegar",,266,0,
11,Spaghetti With Walnuts And Anchovies,144,TRUE,FALSE,FALSE,FALSE,12,"lunch,main course,main dish,dinner","garlic cloves,pecorino,spaghetti,walnuts",,581,0,
